coverage,accepted_count,false_accept_count,false_accept_rate,system_id,seed,model_id,badness_target,bad_threshold,judge_id,uses_test_labels_for_scoring,calibration_only_normalization
0.05,4,0,0.0,cstr,0,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,0,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,0,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,1,0.14285714285714285,cstr,0,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,0,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,0,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,0,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,0,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,0,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,0,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,1,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,1,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,1,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,1,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,1,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,1,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,1,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,1,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,1,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,1,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,2,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,2,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,2,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,2,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,2,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,2,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,2,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,2,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,2,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,2,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,3,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,3,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,3,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,3,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,3,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,3,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,3,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,3,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,3,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,3,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,4,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,4,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,4,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,4,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,4,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,4,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,4,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,4,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,4,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,4,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,5,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,5,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,5,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,5,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,5,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,5,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,5,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,5,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,5,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,5,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,6,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,6,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,6,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,6,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,6,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,6,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,6,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,6,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,6,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,6,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,7,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,7,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,7,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,7,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,1,0.25,cstr,7,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,1,0.14285714285714285,cstr,7,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,7,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,7,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,7,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,7,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,8,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,1,0.14285714285714285,cstr,8,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,8,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,8,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,8,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,8,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,8,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,8,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,8,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,8,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,1,0.25,cstr,9,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,1,0.14285714285714285,cstr,9,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,9,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,9,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,9,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,9,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,9,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,9,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,cstr,9,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,cstr,9,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,heat_exchanger,0,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,heat_exchanger,0,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,heat_exchanger,0,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,heat_exchanger,0,gradient_boosted_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,4,1.0,heat_exchanger,0,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,7,1.0,heat_exchanger,0,hold_last,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,heat_exchanger,0,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,heat_exchanger,0,linear_narx,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,heat_exchanger,0,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.1,7,0,0.0,heat_exchanger,0,mlp_state_space,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
0.05,4,0,0.0,heat_exchanger,1,ensemble_mlp,bad_event,0.5,event_guarded_invariant_disagreement_support,False,True
